279,283
5509,5734
453,493
1231,1615
9620,10000
1282,140
2312,3530
1819,2299
2056,3561
2403,2914
7355,8440
9071,10200
681,839
2826,3571
1016,853
2864,3078
955,1004
6046,6060
187,199
266,335
1364,1399
391,429
775,827
2425,2778
2625,2813
536,619
849,978
1432,1525
1072,1211
897,994
1192,1203
1693,4574
625,1172
990,1040
350,782
562,666
1214,1518
4869,5397
4666,4808
290,300
323,346
1557,1983
5697,7945
631,669
4198,6411
267,287
385,449
540,571
117,134
5802,8572
1812,1909
4258,4733
947,1074
460,623
407,412
2282,2157
2692,2606
200,234
565,628
2094,2209
105,121
2204,3902
8766,12700
9772,14000
207,280
2882,3901
49,44
603,647
529,627
186,203
9952,9990
8329,8926
409,518
677,730
1041,1137
459,537
1021,1094
1073,1072
50,47
349,404
1157,1312
5749,6657
59,83
1577,2638
1014,1114
192,325
130,133
145,173
258,261
220,239
1330,1331
2283,2260
1027,1036
744,729
320,365
139,170
205,229
436,538
118,157
329,392
1374,1429
401,499
134,201
2352,3493
747,704
320,437
359,442
248,520
340,376
111,112
110,114
72,81
2462,2436
407,429
102,116
178,212
366,509
9953,13700
1637,2845
827,2555
851,1564
7339,12600
239,324
929,979
196,209
2480,5728
360,397
1172,1229
1421,1504
2013,2968
4440,5593
3423,4396
357,474
383,521
1711,1893
671,786
639,1123
6755,7224
375,458
1247,1619
193,221
4083,7600
2337,4019
646,675
948,949
954,957
329,394
740,837
901,911
453,484
240,262
335,337
1646,1679
463,508
269,300
1649,1916
3855,18700
45,172
649,648
746,1094
84,108
1534,1706
5702,8062
697,1333
1022,1088
2201,4305
818,1371
9381,17600
221,261
2988,3682
336,376
98,119
134,179
2391,3561
869,1359
95,201
703,772
504,502
317,489
200,360
1245,1222
519,599
1421,1338
122,147
3736,6826
354,483
221,554
344,367
2202,2405
5968,133
1434,1482
535,1368
575,632
1668,1857
872,980
2600,3190
500,569
837,1003
1282,1408
449,510
708,742
638,733
149,188
2933,4124
1278,1402
855,1009
626,727
2570,2653
407,538
8493,9833
639,698
991,1182
224,257
1302,1458
8368,8831
380,418
1745,1729
336,388
146,165
2851,2915
528,1052
436,1831
336,365
116,239
411,479
3055,3092
166,191
950,968
126,141
2103,2199
623,746
511,481
271,301
221,269
936,938
1660,1701
1585,1726
964,1019
536,611
662,720
847,948
1331,1387
5064,6201
430,449
1276,1244
397,443
1039,1062
942,1014
2425,2704
4859,10400
2405,2502
2330,2460
1276,1561
818,924
2361,2014
203,212
1073,1162
2007,2046
254,287
1247,1236
145,190
1138,1180
752,797
880,933
4846,10900
883,2563
82,97
478,483
257,301
5248,6250
218,287
1300,1652
1179,1194
743,832
758,774
138,179
1156,1159
303,327
7682,14900
1179,1295
6249,6308
765,864
677,742
917,1042
1315,1355
295,426
684,1746
